questionLabel,prob,surveyIssued,Q
QF2_1,5248.529411764705,2020-05-11,QF2
QF2_2,7238.588235294117,2020-05-11,QF2
QF2_3,10472.05882352941,2020-05-11,QF2
QF3_1,157.8125,2020-05-11,QF3
QF3_2,331.5625,2020-05-11,QF3
QF3_3,643.75,2020-05-11,QF3
QF4_1,263.125,2020-05-11,QF4
QF4_2,554.375,2020-05-11,QF4
QF4_3,1053.125,2020-05-11,QF4
